Feature Group,Feature Name or Pattern,Description,Used By
Temporal features,"hour_sin, hour_cos, day_sin, day_cos, month_sin, month_cos, is_weekend",Calendar and time-position indicators.,"RBFNN, Random Forest, XGBoost"
Target-hour cyclical features,"target_hour_sin, target_hour_cos, target_day_sin, target_day_cos, target_is_weekend",Cyclical indicators for the forecasted hour.,RBFNN
Current plant generation,total_gen_<plant>_current,Current plant total generation used as forecast anchor.,"RBFNN, Random Forest, XGBoost"
Lag features,"lags at 1, 2, 3, 6, 12, 24, 48, 72, and 168 hours",Historical plant generation at fixed lookback periods.,"RBFNN, Random Forest, XGBoost"
Rolling statistics,"rolling mean, standard deviation, minimum, and maximum over 3, 6, 12, 24, 48, and 168 hours",Recent and weekly generation distribution behavior.,RBFNN
Generation difference features,"diff1, diff3, diff24",Recent generation changes and ramp behavior.,RBFNN
Same-hour historical target references,"target_lag24, target_lag168",Same-hour yesterday and same-hour previous-week references.,RBFNN
Unit-level generation features,gen_<plant>_unit<n>,Cleaned unit-level generation variables.,"RBFNN, Random Forest, XGBoost"
Unit share features,unit generation share patterns,Relative unit contribution to plant generation.,"RBFNN, Random Forest, XGBoost"
Unit outage/status features,out_<plant>_unit<n>,Binary unit availability or outage status.,"RBFNN, Random Forest, XGBoost"
Running units and plant availability,"<plant>_units_running, <plant>_plant_available",Counts and flags describing plant-level availability.,"RBFNN, Random Forest, XGBoost"
Gate features,tot_<plant>_gate and lagged gate features,Gate opening and discharge control indicators.,RBFNN
Reservoir elevation features,elev_<plant> and lagged elevation features,Reservoir or forebay elevation status.,RBFNN
Spillway features,tot_<plant> and lagged spillway/outflow features,Plant water release and spillway-related variables.,RBFNN
Rainfall features,rainfall and lagged rainfall features,Hydrologic inflow proxy from rainfall measurements.,RBFNN
Lake Lanao outflow features,lake_lanao_outflow and lagged outflow features,Upstream lake outflow indicators.,RBFNN
Upstream cascade generation features,upstream total generation features by cascade order,Generation context from upstream plants.,RBFNN
