Date,Hour,out_agus1_unit1,out_agus1_unit2,out_agus2_unit1,out_agus2_unit2,out_agus2_unit3,out_agus4_unit1,out_agus4_unit2,out_agus4_unit3,out_agus5_unit1,out_agus5_unit2,out_agus6_unit1,out_agus6_unit2,out_agus6_unit3,out_agus6_unit4,out_agus6_unit5,out_agus7_unit1,out_agus7_unit2
2025-07-01,00:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,1:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,2:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,3:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,4:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,5:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,6:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,7:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,8:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,9:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,10:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,11:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,12:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,13:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,14:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,15:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,16:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,17:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,18:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,19:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,20:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,21:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,22:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-07-01,23:00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
